CARDNUMBER,PIN,BALANCE,PASSPORTID,PINFL,CARDEXPIRYDATE,PHONENUMBER,STATUS
8600141282472413,7630,1403904 UZS,IJ8941361,30101079386783,05/2030,+998900342488,BLOCKED
8600371221457130,6330,7700543 UZS,CD1428245,30070186204222,03/2028,+998947928523,BLOCKED
8600018836637966,2234,4955745 UZS,IJ1353917,30070144817164,09/2028,+998942087647,USABLE
8600186737545289,8498,4330903 UZS,CD1044110,30070136474064,12/2028,+998957880820,USABLE
8600421653582002,7934,9067142 UZS,IJ4724835,30070140100482,04/2028,+998945324418,BLOCKED
8600227223901535,8436,4362415 UZS,AB3689702,30101097919432,08/2029,+998935587535,USABLE
8600709783642286,5807,3732145 UZS,AB3524441,30101050885863,04/2028,+998932351048,USABLE
8600250633390818,9446,2831146 UZS,IJ4936474,29912050997896,07/2027,+998933336270,USABLE
8600344731476718,0151,5509084 UZS,IJ4187323,30070112445564,10/2027,+998931627091,BLOCKED
8600772740095022,7713,9336647 UZS,CD2439717,30070195724494,11/2026,+998901086974,USABLE
8600569260482949,3245,2695792 UZS,AB9992524,30070125852724,01/2027,+998937421267,USABLE
8600158749520493,0181,3236534 UZS,GH9943021,30101015334046,08/2026,+998909825607,BLOCKED
8600802505780169,3418,4222825 UZS,EF3914755,30505080384457,02/2025,+998907607422,BLOCKED
8600931512865661,1985,2346896 UZS,IJ3926474,29912074377937,07/2027,+998958062696,USABLE
8600584879372464,2298,2433594 UZS,GH9330750,30505054301503,06/2029,+998948471406,USABLE
8600447887743516,0712,5398625 UZS,GH3503058,30101008609991,09/2026,+998939363415,BLOCKED
8600164070223269,3827,6867876 UZS,CD0891847,30101097182109,01/2025,+998939172163,BLOCKED
8600303555057152,2224,8422528 UZS,AB8389733,29912061620976,06/2030,+998940000669,USABLE
8600966946735155,3788,4480361 UZS,IJ7659561,30505023726698,07/2025,+998914650905,BLOCKED
8600040139732260,6362,9838406 UZS,AB0020946,30505086343729,01/2030,+998906559417,BLOCKED
8600973012644774,2449,1040447 UZS,GH5235454,29912092378972,03/2029,+998907662107,BLOCKED
8600934665367238,0722,8509990 UZS,AB0260557,30070167418085,08/2029,+998952105981,BLOCKED
8600987139142363,0660,1895296 UZS,AB1859250,30505039953573,04/2027,+998930051352,USABLE
8600287477180574,4310,4491402 UZS,EF3618425,30070123848558,01/2030,+998915505867,USABLE
8600446319693208,1496,3673112 UZS,AB0236458,29912048141409,08/2025,+998948044487,USABLE
8600585379917153,9471,9272440 UZS,EF6092060,29912085346189,01/2027,+998953177139,BLOCKED
8600466268133758,2060,3935999 UZS,GH7111662,30070113319054,08/2028,+998952720339,USABLE
8600467161667140,6434,2720560 UZS,AB5174088,30070166515367,12/2027,+998931774262,USABLE
8600865663630542,4613,3239984 UZS,CD7332831,29912047547446,11/2025,+998905802137,BLOCKED
8600597115023584,9686,2479190 UZS,EF8353342,30070160460343,05/2027,+998957724297,USABLE
8600551480319911,1111,120000 UZS,AD1066495,234234234234234234,12/2026,+998900532105,USABLE
3040910311042978,1111,0.0 UZS,AD1066495,234234234234234,12/2050,+998981232105,USABLE
4385483699759580,1111,0.0 UZS,weqdfv,qdwefrgt,12/2050,qwdewfrgt,USABLE
7010801768116315,1111,0.0 UZS,123e,qwdqxwd,12/2050,qecfqxw,USABLE
